t,x,y,z
1.850000000000000000e+01,5.956670744517432725e-01,2.316661057760427411e+00,2.728747452924276118e+00
1.860000000000000142e+01,8.433686843214828199e-01,1.985218137852496456e+00,2.451277389109990601e+00
1.869999999999999929e+01,1.068554188347526246e+00,1.659258851856655559e+00,2.150296064672813312e+00
1.880000000000000071e+01,1.270942482515999394e+00,1.342249094791914121e+00,1.848150084087773815e+00
1.890000000000000213e+01,1.450864031967182166e+00,1.035462812236238594e+00,1.567057174832392707e+00
1.900000000000000000e+01,1.608412486302293942e+00,7.382065678229043915e-01,1.318878544793591789e+00
1.910000000000000142e+01,1.743228130414982591e+00,4.494199719117735192e-01,1.107124900699780756e+00
1.920000000000000284e+01,1.855055566666446998e+00,1.677602529462512981e-01,9.326475448542846935e-01
1.930000000000000071e+01,1.943555027915433220e+00,-1.083826336343347851e-01,7.913639747771866739e-01
1.940000000000000213e+01,2.008128697231637894e+00,-3.795528894503273354e-01,6.801268469252420568e-01
1.950000000000000000e+01,2.048144609560196283e+00,-6.459533545409474886e-01,5.943452691508104291e-01
1.960000000000000142e+01,2.063031314080349787e+00,-9.077394267189832222e-01,5.268239658320573726e-01
1.970000000000000284e+01,2.052095366881852456e+00,-1.163709182897492367e+00,4.751542084731389948e-01
1.980000000000000071e+01,2.014796373937276286e+00,-1.412587572934719038e+00,4.356703454167967227e-01
1.990000000000000213e+01,1.950770466342729437e+00,-1.653045375136124484e+00,4.035412142020317616e-01
2.000000000000000000e+01,1.859713819396938694e+00,-1.882827146173169819e+00,3.784372769188365515e-01
2.010000000000000142e+01,1.741586710886557698e+00,-2.099869730090097697e+00,3.582598210712699127e-01
2.020000000000000284e+01,1.596574115214458134e+00,-2.301988837944057842e+00,3.412705442406983591e-01
2.030000000000000071e+01,1.425066341580835561e+00,-2.486685861229926964e+00,3.277034223375272504e-01
2.040000000000000213e+01,1.227753897749158662e+00,-2.651707139675217206e+00,3.163498337553489748e-01
2.050000000000000000e+01,1.005584167833220466e+00,-2.794745146745196251e+00,3.067499016819598134e-01
2.060000000000000142e+01,7.597648941752822571e-01,-2.913466112906444305e+00,2.992717894842239490e-01
2.070000000000000284e+01,4.918097045421877533e-01,-3.005818991330698520e+00,2.932335830256460607e-01
2.080000000000000071e+01,2.035036118264330618e-01,-3.069842509089637961e+00,2.884110603725908439e-01
2.090000000000000213e+01,-1.031074677115575433e-01,-3.103666634314110162e+00,2.852106157653860885e-01
2.100000000000000000e+01,-4.256964936381611997e-01,-3.105739976168382377e+00,2.834151959140156496e-01
2.110000000000000142e+01,-7.616732218419961509e-01,-3.074780229135776199e+00,2.826648000077032763e-01
2.120000000000000284e+01,-1.108218985789565014e+00,-3.009661005887411367e+00,2.833099693015255771e-01
2.130000000000000071e+01,-1.462290485331190659e+00,-2.909595218486081158e+00,2.854617830998838479e-01
2.140000000000000213e+01,-1.820635131172738674e+00,-2.774165049098753499e+00,2.890312742394060552e-01
2.150000000000000000e+01,-2.179822450848197146e+00,-2.603303246298275919e+00,2.939689388477835785e-01
2.160000000000000142e+01,-2.536264407693661127e+00,-2.397210076783597099e+00,3.006137349341446163e-01
2.170000000000000284e+01,-2.886263047294486128e+00,-2.156482722677862007e+00,3.092468962617264117e-01
2.180000000000000071e+01,-3.226047616179704036e+00,-1.882166022895983115e+00,3.200534577575134265e-01
2.190000000000000213e+01,-3.551775241134707883e+00,-1.575752904140742316e+00,3.331238556262573480e-01
2.200000000000000000e+01,-3.859606796172223575e+00,-1.239165825907717178e+00,3.487469410957053095e-01
2.210000000000000142e+01,-4.145715092917773070e+00,-8.745831939133076327e-01,3.675579844474625713e-01
2.220000000000000284e+01,-4.406371878851826906e+00,-4.846229662778405167e-01,3.902529079973982018e-01
2.230000000000000071e+01,-4.638005246161601036e+00,-7.241714566360490934e-02,4.176263837114623234e-01
2.240000000000000213e+01,-4.837199631741078143e+00,3.583882207251940510e-01,4.505718332056894981e-01
2.250000000000000000e+01,-5.000719404009198676e+00,8.036641860009754446e-01,4.902039828804696242e-01
2.260000000000000142e+01,-5.125704553523268814e+00,1.259071468585392317e+00,5.384972461270021160e-01
2.270000000000000284e+01,-5.209507873477238427e+00,1.719653505574615382e+00,5.967443976390867100e-01
2.280000000000000071e+01,-5.249963775845564840e+00,2.179957116347565726e+00,6.672311564751319812e-01
2.290000000000000213e+01,-5.245451274389822061e+00,2.634099999344097220e+00,7.536116017957092961e-01
2.300000000000000000e+01,-5.194893984658691899e+00,3.075770732064885493e+00,8.609081728635323838e-01
2.310000000000000142e+01,-5.097816765052562538e+00,3.498263786844756584e+00,9.952117471766581680e-01
2.320000000000000284e+01,-4.954549421876421000e+00,3.894154647413307302e+00,1.162643480461759138e+00
2.330000000000000071e+01,-4.765808892840049715e+00,4.254484409250443022e+00,1.372895896748932199e+00
2.340000000000000213e+01,-4.533484554956731749e+00,4.569738308492327761e+00,1.636253386137365595e+00
2.350000000000000000e+01,-4.260762478048365054e+00,4.829977375952619667e+00,1.962995371460337424e+00
2.360000000000000142e+01,-3.952125424745395854e+00,5.024838437122564727e+00,2.363396308285290459e+00
2.370000000000000284e+01,-3.613371898160683493e+00,5.143839325336736046e+00,2.846514384718186630e+00
2.380000000000000071e+01,-3.251559577048722449e+00,5.176100994912878228e+00,3.410223362769485789e+00
2.390000000000000213e+01,-2.874663946241210244e+00,5.110217320344924374e+00,4.037742269717882415e+00
2.400000000000000000e+01,-2.491792548518017458e+00,4.941193981993428963e+00,4.688350695540234980e+00
2.410000000000000142e+01,-2.113217738207541885e+00,4.671106235361221160e+00,5.296146502444229576e+00
2.420000000000000284e+01,-1.750036114965208167e+00,4.309090411668472953e+00,5.771224572056276259e+00
2.430000000000000071e+01,-1.411078946221179908e+00,3.874522341217974120e+00,6.026592200593920978e+00
2.440000000000000213e+01,-1.103828466755445437e+00,3.396169160587672931e+00,6.012323794031743773e+00
2.450000000000000000e+01,-8.325967188998804058e-01,2.904002949511064191e+00,5.720892648550468529e+00
2.460000000000000142e+01,-5.984008274559551310e-01,2.428058393932698067e+00,5.193089837712483003e+00
2.470000000000000284e+01,-4.001851166744286314e-01,1.991269601224678443e+00,4.523493421790558244e+00
2.480000000000000071e+01,-2.348681595369576103e-01,1.606202226242009035e+00,3.802016729823034069e+00
2.490000000000000213e+01,-9.856338694932720301e-02,1.277322747448298879e+00,3.110847266326241645e+00
2.500000000000000000e+01,1.314172873074978543e-02,1.001062698432075182e+00,2.509519408044809552e+00
2.510000000000000142e+01,1.040932028007419408e-01,7.696989376914618042e-01,2.007839623886158886e+00
2.520000000000000284e+01,1.774573880930934711e-01,5.755117550318704644e-01,1.607823874860010216e+00
2.530000000000000071e+01,2.358318580564252032e-01,4.104725365021869576e-01,1.300946196690831114e+00
2.540000000000000213e+01,2.812154231749786071e-01,2.666108676978273806e-01,1.069246396691748480e+00
2.550000000000000000e+01,3.148305710466203777e-01,1.387840883129876079e-01,8.973875484290936289e-01
2.560000000000000142e+01,3.375290548089167064e-01,2.305729117308891185e-02,7.719865443412101680e-01
2.570000000000000284e+01,3.499440316692524755e-01,-8.382386230188383636e-02,6.801179827741747896e-01
2.580000000000000071e+01,3.523567807460709078e-01,-1.835028024125014701e-01,6.135767527088694662e-01
2.590000000000000213e+01,3.449931520842523525e-01,-2.772159176011437243e-01,5.649863513535720028e-01
2.600000000000000000e+01,3.279986747949149017e-01,-3.656041168433718513e-01,5.287720425580547667e-01
2.610000000000000142e+01,3.014331254984894959e-01,-4.485913113750211179e-01,5.020875074591474307e-01
2.620000000000000284e+01,2.654330155960265558e-01,-5.261231370339120028e-01,4.817081121646161757e-01
2.630000000000000071e+01,2.201520030320097132e-01,-5.978527588821945793e-01,4.655681687403639968e-01
2.640000000000000213e+01,1.657610545056204532e-01,-6.631139119409634741e-01,4.530569970092046539e-01
2.650000000000000000e+01,1.025372361879670347e-01,-7.213467271882900711e-01,4.430878623031265784e-01
2.660000000000000142e+01,3.084157632051241771e-02,-7.719859022723892794e-01,4.346805223009173047e-01
2.670000000000000284e+01,-4.891784471250509858e-02,-8.142801703279239911e-01,4.279091284590337274e-01
2.680000000000000071e+01,-1.362326234266792446e-01,-8.475695520413639716e-01,4.226298125393859739e-01
2.690000000000000213e+01,-2.304896546839458604e-01,-8.713110940515080838e-01,4.183943486342153184e-01
2.700000000000000000e+01,-3.309972114470258187e-01,-8.849726846469448960e-01,4.150251295792566353e-01
2.710000000000000142e+01,-4.369931203566451705e-01,-8.880096203477978456e-01,4.127208066118134844e-01
2.720000000000000284e+01,-5.476280266152262488e-01,-8.800002932478561135e-01,4.115107126161774431e-01
2.730000000000000071e+01,-6.619678124831485100e-01,-8.606486988953451212e-01,4.112828485911948495e-01
2.740000000000000213e+01,-7.790012983687133463e-01,-8.297730490221987276e-01,4.118622979963448283e-01
2.750000000000000000e+01,-8.976683763942736594e-01,-7.872296922606261127e-01,4.133850997488923151e-01
2.760000000000000142e+01,-1.016846417492670795e+00,-7.329770402624260495e-01,4.159528537431378403e-01
2.770000000000000284e+01,-1.135373339479071264e+00,-6.671149907596835016e-01,4.196142689384754765e-01
2.780000000000000071e+01,-1.252049680235556517e+00,-5.898843742014088232e-01,4.243781705442617458e-01
2.790000000000000213e+01,-1.365638597711134938e+00,-5.016669537535272116e-01,4.302135000198165637e-01
2.800000000000000000e+01,-1.474899191073859361e+00,-4.029901809976662030e-01,4.370696965275863710e-01
2.810000000000000142e+01,-1.578588980349000748e+00,-2.944513945753076678e-01,4.450715345501239373e-01
2.820000000000000284e+01,-1.675453997564933184e+00,-1.767379461899730719e-01,4.544012954953166039e-01
2.830000000000000071e+01,-1.764291506577310820e+00,-5.068548152927604411e-02,4.651872307412973084e-01
